am America
I I
a a
ab about
af after
ag again
ai air
al all~also
an an~and~animal~another~answer~any
ar are~around
as as~ask
at at
aw away
ba back
be be~because~been~before
bi big
bo boy
bu but
by by
ca called~came~can
ch change
co come~could
da day
di did~different
do do~does~down
ea each
en end
ev even
fi find~first
fo follow~for~form~found
fr from
ge get
gi give
go go~good
gr great
ha had~hand~has~have
he he~help~her~here
hi him~his
ho home~house~how
if if
in in~into
is is
it it
ju just
ki kind
kn know
la land~large
le learn~letter
li like~line~little~live
lo long~look
ma made~make~man~many~may
me me~means~men
mo more~most~mother~move
mu much~must
my my
na name
ne need~new
no no~not~now
nu number
of of~off
oi oil
ol old
on on~one~only
or or
ot other
ou our~out
ov over
pa page~part
pe people
pi picture
pl place~play
po point
pu put
re read
ri right
sa said~same~say
se see~sentence~set
sh she~should~show
si sit
sm small
so so~some~sound
sp spell
st still~study
su such
ta take
te tell
th than~that~the~their~them~then~there~these~they~things~think~this~three~through
ti time
to to~too
tr try
tu turn
tw two
up up
us us~use
ve very
wa want~was~water~way
we we~well~went~were
wh what~when~where~which~who~why
wi will~with
wo words~work~world~would
wr write
ye years
yo you~your
